dataset,method,ef_search,target_recall,target_met,code_size_bytes_per_vector,train_ms,encode_ms,encode_vectors_per_second,distance_mse,distance_relative_mse,distance_mean_relative_error,distance_pair_protocol,distance_pair_count,query_setup_and_single_distance_ms,query_setup_count,query_setup_and_distance_total_ms,distance_scan_count,distance_scan_ms,distance_scans_per_second,distance_batch4_scan_count,distance_batch4_scan_ms,distance_batch4_scans_per_second,code_pair_supported,code_pair_count,code_pair_ms,code_pairs_per_second,build_duration_s,index_serialized_size_bytes,index_memory_bytes,build_peak_memory,dataset_query_count,timed_query_count,successful_query_count,timed_repetitions_per_query,qps,latency_p50_ms,latency_p99_ms,recall_at_10
gist1m,rabitq,40,0.95,False,492,94.60993099999999,175535.111336,5696.8659568389885,0.00010118588783523419,4.643716917053749e-05,0.006191709676104107,query_to_ground_truth_neighbor,10000,0.011611679799999998,1000,116.11679799999999,100000,27.498457,3636567.6808702396,100000,27.424951,3646314.6278729904,False,,,,324.223146367,649665521,759664952,456.28 MB,1000,10000,10000,10,17590.914605021146,0.888312,1.5746689999999999,0.6920000000000055
gist1m,rabitq,80,0.95,False,492,94.60993099999999,175535.111336,5696.8659568389885,0.00010118588783523419,4.643716917053749e-05,0.006191709676104107,query_to_ground_truth_neighbor,10000,0.011611679799999998,1000,116.11679799999999,100000,27.498457,3636567.6808702396,100000,27.424951,3646314.6278729904,False,,,,324.223146367,649665521,759664952,456.28 MB,1000,10000,10000,10,12923.693284628878,1.247526,1.5387549999999999,0.7904000000000196
gist1m,rabitq,120,0.95,False,492,94.60993099999999,175535.111336,5696.8659568389885,0.00010118588783523419,4.643716917053749e-05,0.006191709676104107,query_to_ground_truth_neighbor,10000,0.011611679799999998,1000,116.11679799999999,100000,27.498457,3636567.6808702396,100000,27.424951,3646314.6278729904,False,,,,324.223146367,649665521,759664952,456.28 MB,1000,10000,10000,10,9964.8331968485,1.62686,2.038537,0.8317000000000259
gist1m,rabitq,200,0.95,False,492,94.60993099999999,175535.111336,5696.8659568389885,0.00010118588783523419,4.643716917053749e-05,0.006191709676104107,query_to_ground_truth_neighbor,10000,0.011611679799999998,1000,116.11679799999999,100000,27.498457,3636567.6808702396,100000,27.424951,3646314.6278729904,False,,,,324.223146367,649665521,759664952,456.28 MB,1000,10000,10000,10,7604.525588233932,2.138786,3.167011,0.8683000000000273
gist1m,rabitq,400,0.95,False,492,94.60993099999999,175535.111336,5696.8659568389885,0.00010118588783523419,4.643716917053749e-05,0.006191709676104107,query_to_ground_truth_neighbor,10000,0.011611679799999998,1000,116.11679799999999,100000,27.498457,3636567.6808702396,100000,27.424951,3646314.6278729904,False,,,,324.223146367,649665521,759664952,456.28 MB,1000,10000,10000,10,4716.633774246271,3.497522,4.223208,0.8953000000000242
gist1m,rabitq,800,0.95,False,492,94.60993099999999,175535.111336,5696.8659568389885,0.00010118588783523419,4.643716917053749e-05,0.006191709676104107,query_to_ground_truth_neighbor,10000,0.011611679799999998,1000,116.11679799999999,100000,27.498457,3636567.6808702396,100000,27.424951,3646314.6278729904,False,,,,324.223146367,649665521,759664952,456.28 MB,1000,10000,10000,10,2594.7483551744217,6.373133999999999,7.983047,0.9047000000000236
gist1m,rabitq,1600,0.95,False,492,94.60993099999999,175535.111336,5696.8659568389885,0.00010118588783523419,4.643716917053749e-05,0.006191709676104107,query_to_ground_truth_neighbor,10000,0.011611679799999998,1000,116.11679799999999,100000,27.498457,3636567.6808702396,100000,27.424951,3646314.6278729904,False,,,,324.223146367,649665521,759664952,456.28 MB,1000,10000,10000,10,1518.2780589197805,10.874893,13.726574999999999,0.9100000000000215
gist1m,saq,40,0.95,False,492,8438.802215,168612.651487,5930.753067346787,3.8098573312017138e-06,1.7484551768000702e-06,0.0009090825351016331,query_to_ground_truth_neighbor,10000,0.0161081626,1000,161.081626,100000,69.681494,1435101.262323681,100000,61.940901999999994,1614442.1016019431,True,100000,255.53758499999998,391331.8661127678,547.617025034,650503142,759664808,716.67 MB,1000,10000,10000,10,10769.9413517351,1.488718,1.8764539999999998,0.707800000000007
gist1m,saq,80,0.95,False,492,8438.802215,168612.651487,5930.753067346787,3.8098573312017138e-06,1.7484551768000702e-06,0.0009090825351016331,query_to_ground_truth_neighbor,10000,0.0161081626,1000,161.081626,100000,69.681494,1435101.262323681,100000,61.940901999999994,1614442.1016019431,True,100000,255.53758499999998,391331.8661127678,547.617025034,650503142,759664808,716.67 MB,1000,10000,10000,10,7888.638015649836,2.065017,2.473154,0.8209000000000135
gist1m,saq,120,0.95,False,492,8438.802215,168612.651487,5930.753067346787,3.8098573312017138e-06,1.7484551768000702e-06,0.0009090825351016331,query_to_ground_truth_neighbor,10000,0.0161081626,1000,161.081626,100000,69.681494,1435101.262323681,100000,61.940901999999994,1614442.1016019431,True,100000,255.53758499999998,391331.8661127678,547.617025034,650503142,759664808,716.67 MB,1000,10000,10000,10,6189.77442332719,2.6486199999999998,3.139299,0.8687000000000135
