dataset,method,ef_search,target_recall,target_met,code_size_bytes_per_vector,train_ms,encode_ms,encode_vectors_per_second,distance_mse,distance_relative_mse,distance_mean_relative_error,distance_pair_protocol,distance_pair_count,query_setup_and_single_distance_ms,query_setup_count,query_setup_and_distance_total_ms,distance_scan_count,distance_scan_ms,distance_scans_per_second,distance_batch4_scan_count,distance_batch4_scan_ms,distance_batch4_scans_per_second,code_pair_supported,code_pair_count,code_pair_ms,code_pairs_per_second,build_duration_s,index_serialized_size_bytes,index_memory_bytes,build_peak_memory,dataset_query_count,timed_query_count,successful_query_count,timed_repetitions_per_query,qps,latency_p50_ms,latency_p99_ms,recall_at_10
gist1m,saq,200,0.91,True,492,8438.802215,168612.651487,5930.753067346787,3.8098573312017138e-06,1.7484551768000702e-06,0.0009090825351016331,query_to_ground_truth_neighbor,10000,0.0161081626,1000,161.081626,100000,69.681494,1435101.262323681,100000,61.940901999999994,1614442.1016019431,True,100000,255.53758499999998,391331.8661127678,547.617025034,650503142,759664808,716.67 MB,1000,10000,10000,10,4427.041533645265,3.7252199999999998,4.372186999999999,0.9170000000000098
gist1m,rabitq,1600,0.91,True,492,94.60993099999999,175535.111336,5696.8659568389885,0.00010118588783523419,4.643716917053749e-05,0.006191709676104107,query_to_ground_truth_neighbor,10000,0.011611679799999998,1000,116.11679799999999,100000,27.498457,3636567.6808702396,100000,27.424951,3646314.6278729904,False,,,,324.223146367,649665521,759664952,456.28 MB,1000,10000,10000,10,1518.2780589197805,10.874893,13.726574999999999,0.9100000000000215
sift1m,saq,40,0.85,True,76,122.272809,6571.046338,152182.76489956476,1151142.2910190797,0.0004646605370712905,0.02009351370839379,query_to_ground_truth_neighbor,100000,0.00066548013,10000,66.548013,100000,9.251743,10808774.087217944,100000,7.6000049999999995,13157886.080338106,True,100000,29.000383,3448230.321647821,92.12151073000001,230326378,357011624,324.52 MB,10000,10000,10000,1,87866.92315490158,0.18148699999999998,0.229562,0.8583400000000313
sift1m,rabitq,120,0.85,True,76,4.251417,7042.500859,141995.01285428242,1989802.9712865509,0.0008031873422750773,0.027270647040173436,query_to_ground_truth_neighbor,100000,0.00028225562,10000,28.225562,100000,6.229816,16051838.449161261,100000,6.162877,16226187.866478594,False,,,,39.091206140000004,230305725,357011768,116.22 MB,10000,10000,10000,1,46050.2084593929,0.353082,0.48102799999999996,0.8501300000000348
